1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Male,66+,Professor,Plant production and environmental agriculture,Yes,20+,Argentina,5+,10+,10+,1,1,1,5+,40+,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Often,Biological Science,Never
Female,18-25,Second (Master),Nano/Micro science,Yes,1-2,Cyprus,2,0,0,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Plant production and environmental agriculture,No,10-20,Brazil,2,5-10,1,1,0,1,2,20-40,Prof.,Male,No,20-40,Female,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,26-35,Second (Master),Mechanical engineering,Yes,3-5,Israel,1,2-5,0,1,2,,,10-20,Prof.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Genome science,No,6-9,United Kingdom,5+,10+,0,2,0,3,3,5-10,Prof.,Male,No,5-10,Female,No,Dr.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""",When in the general scope of the work,Rarely,Rarely,Biological Science,Rarely
Male,66+,Professor,Mathematics,Yes,20+,Russian Federation,3,10+,10+,1,1,1,4,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Basic medicine,Yes,10-20,United Kingdom,5+,10+,0,2,1,2,3,20-40,Prof.,Male,No,5-10,Female,No,Dr.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Rarely,Often,,Rarely
Female,36-45,Third (Ph.D. \ MD),Basic medicine,Yes,10-20,United Kingdom,4,10+,0,1,1,1,2,10-20,Prof.,Female,No,10-20,Female,No,Dr.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Clinical internal medicine,Never
Female,26-35,Third (Ph.D. \ MD),Psychology,Yes,6-9,United Kingdom,4,5-10,0,1,1,3,1,10-20,,Female,No,10-20,Female,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Often,,Often
Male,36-45,Third (Ph.D. \ MD),Genome science,Yes,10-20,United Kingdom,5+,10+,0,1,0,2,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Informatics,Never
Male,46-55,Professor,Neuroscience,Yes,10-20,United Kingdom,4,10+,2-5,1,1,2,3,10-20,Dr.,Female,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Biological Science,No,20+,United Kingdom,5+,10+,1,2,1,1,2,20-40,Prof.,Female,No,10-20,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Informatics,Never
Male,36-45,Third (Ph.D. \ MD),Politics,No,10-20,Canada,5+,10+,1,1,2,1,3,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Social sciences,Never
Male,56-65,Professor,Civil engineering,Yes,20+,France,5+,10+,5-10,2,1,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Applied physics,Yes,6-9,Ukraine,3,5-10,0,1,0,1,3,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Mathematics,Never
Female,26-35,Third (Ph.D. \ MD),Neuroscience,No,10-20,Belarus,4,10+,1,1,1,1,3,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,56-65,Professor,Basic biology,Yes,20+,Germany,3,10+,5-10,1,0,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Animal life science,Never
Male,46-55,Third (Ph.D. \ MD),Nano/Micro science,Yes,20+,United Kingdom,3,10+,2-5,2,1,1,3,10-20,Prof.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,46-55,Third (Ph.D. \ MD),Biological Science,No,20+,United Kingdom,5+,10+,10+,2,1,1,4,40+,Prof.,Male,No,40+,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,Genome science,Rarely
Female,46-55,Professor,Basic medicine,Yes,10-20,Argentina,5+,10+,5-10,1,1,2,5+,20-40,Prof.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Management,No,6-9,Austria,2,5-10,1,1,2,1,4,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Chemistry,Yes,20+,Russian Federation,5+,10+,10+,1,1,3,5+,40+,Prof.,Male,Yes,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Often,Rarely,,Rarely
Female,46-55,Professor,Linguistics,Yes,20+,Russian Federation,3,5-10,10+,1,1,1,2,20-40,Prof.,Female,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Third (Ph.D. \ MD),Economics,Yes,10-20,Cyprus,4,10+,5-10,1,0,1,3,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Often,Rarely,Psychology,Never
Male,66+,Professor,Mathematics,Yes,20+,United States,5+,10+,10+,1,2,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Applied physics,Rarely
Male,66+,Professor,Literature,Yes,20+,United Kingdom,5+,10+,10+,1,1,1,4,10-20,Dr.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Linguistics,Rarely
Male,56-65,Professor,Philosophy,Yes,20+,Canada,2,2-5,10+,1,0,1,1,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Physics,Yes,20+,United States,5+,10+,5-10,2,2,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Third (Ph.D. \ MD),Economics,No,10-20,United States,3,10+,5-10,2,1,1,3,20-40,Prof.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,56-65,Professor,Environmental science,No,20+,Cambodia,5+,10+,10+,1,1,1,5+,40+,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Male,46-55,Professor,Physics,Yes,10-20,Egypt,3,10+,10+,2,2,2,4,40+,Prof.,Male,Yes,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,46-55,Third (Ph.D. \ MD),Psychology,Yes,10-20,Germany,3,10+,2-5,2,2,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,History,Never
Male,66+,Professor,Chemistry,No,20+,Greece,5+,10+,2-5,3+,3+,1,3,20-40,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,46-55,Third (Ph.D. \ MD),Nursing,Yes,6-9,Sweden,4,5-10,10+,1,1,1,4,5-10,Prof.,Male,No,5-10,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Basic medicine,Never
Male,46-55,Professor,Mathematics,Yes,20+,United Kingdom,5+,10+,10+,2,2,2,5+,5-10,Dr.,Female,No,40+,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Mechanical engineering,Never
Male,56-65,Professor,Neuroscience,Yes,20+,United Kingdom,5+,10+,5-10,2,2,1,4,10-20,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Management,Yes,3-5,Hungary,2,1,0,1,0,1,3,5-10,Dr.,Male,No,5-10,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,18-25,Second (Master),Physics,Yes,1-2,Bulgaria,1,0,0,1,1,,,5-10,Dr.,Male,No,,,,,No,No,When in the general scope of the work,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,46-55,Professor,Politics,Yes,20+,Ukraine,4,10+,10+,1,1,1,2,10-20,Prof.,Female,Yes,20-40,Female,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *gender* as I am",Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,Psychology,Never
Male,66+,Professor,Process/Chemical engineering,Yes,20+,Afghanistan,5+,10+,10+,1,2,1,5+,10-20,Dr.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Often,Physics,Never
Male,36-45,Third (Ph.D. \ MD),Mathematics,Yes,6-9,Italy,3,2-5,5-10,1,1,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,66+,Professor,Basic medicine,No,20+,Spain,5+,10+,10+,1,0,2,1,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Economics,Yes,3-5,Czech Republic,1,2-5,0,1,0,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,18-25,Second (Master),Environmental science,No,1-2,Denmark,1,0,0,2,1,,,,,Female,No,10-20,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Mathematics,No,6-9,Hungary,2,2-5,1,2,2,2,4,5-10,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Economics,Yes,20+,Ukraine,5+,10+,5-10,I did a direct Ph.D.,0,2,5+,,,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Biological Science,Yes,3-5,Russian Federation,2,1,0,1,1,1,4,10-20,Dr.,Male,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Biological Science,No,10-20,United States,2,10+,2-5,1,0,1,3,10-20,Dr.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Material engineering,Yes,10-20,France,3,10+,2-5,1,2,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,Applied physics,Never
Male,46-55,Professor,Genome science,No,20+,United States,5+,10+,2-5,1,0,1,4,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Applied physics,Yes,3-5,Canada,1,2-5,0,2,2,1,2,10-20,Dr.,Female,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Biological Science,Yes,6-9,China,5+,2-5,0,I did a direct Ph.D.,0,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Computer Science (CS),Never
Female,36-45,Third (Ph.D. \ MD),Genome science,Yes,6-9,United Kingdom,5+,10+,0,2,1,2,5+,5-10,Dr.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,,Often
Male,36-45,Third (Ph.D. \ MD),Economics,Yes,6-9,United States,2,5-10,1,1,1,1,,10-20,Dr.,Female,No,10-20,Male,Yes,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Second (Master),Genome science,Yes,1-2,Czech Republic,1,0,0,1,1,1,0,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,18-25,Second (Master),Mathematics,Yes,1-2,Israel,1,1,0,2,3+,,,,,Male,No,5-10,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Basic biology,Never
Male,66+,Professor,Plant production and environmental agriculture,Yes,20+,Argentina,5+,10+,10+,I did a direct Ph.D.,0,1,5+,,,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Often,,Never
Male,26-35,Third (Ph.D. \ MD),Neuroscience,No,6-9,France,2,5-10,0,1,1,1,3,10-20,Prof.,Female,Yes,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,66+,Third (Ph.D. \ MD),Mathematics,No,20+,United States,1,2-5,5-10,I did a direct Ph.D.,0,1,1,,,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Mechanical engineering,Yes,6-9,Russian Federation,2,2-5,2-5,1,0,1,2,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Architecture and building engineering,Yes,20+,Russian Federation,5+,10+,5-10,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Economics,No,6-9,Italy,2,5-10,1,2,1,1,2,10-20,Prof.,Male,No,10-20,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,History,Yes,20+,United Kingdom,1,10+,10+,1,1,1,3,40+,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Environmental science,No,10-20,Spain,3,10+,2-5,1,1,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,56-65,Professor,Biological Science,No,20+,Hungary,5+,10+,5-10,2,2,1,4,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Often,,Rarely
Female,46-55,Third (Ph.D. \ MD),Sociology,No,6-9,New Zealand,3,5-10,2-5,1,0,1,3,10-20,Prof.,Female,Yes,20-40,Female,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,56-65,Professor,Mathematics,Yes,20+,Israel,3,10+,10+,1,0,1,0,40+,Prof.,Male,No,40+,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",When in the general scope of the work,Never,Never,Material engineering,Never
